Fold,Random Forest,Logistic Regression,SVC
1,0.9352,0.908,0.9025
2,0.9359,0.8977,0.9252
3,0.9101,0.8964,0.9157
4,0.9371,0.9222,0.9178
5,0.9494,0.9025,0.9326
6,0.9451,0.9144,0.9399
7,0.9605,0.9368,0.9419
8,0.9665,0.9045,0.9235
9,0.8698,0.8204,0.8611
10,0.8199,0.83,0.8214
avg,0.923,0.8933,0.9082
stdev,0.0455,0.0379,0.0383
