Fold,Random Forest,Logistic Regression,SVC
1,0.9408,0.908,0.9025
2,0.933,0.8977,0.9252
3,0.9222,0.8964,0.9157
4,0.9398,0.9222,0.9178
5,0.9524,0.9025,0.9326
6,0.9482,0.9144,0.9399
7,0.9607,0.9368,0.9419
8,0.9609,0.9045,0.9235
9,0.8796,0.8204,0.8611
10,0.8245,0.83,0.8214
avg,0.9262,0.8933,0.9082
stdev,0.0429,0.0379,0.0383
