Data set,Random Forest,Logistic Regression,SVC
1,0.9544 (1),0.9306 (2),0.9241 (3)
2,0.9522 (1),0.9217 (3),0.9413 (2)
3,0.9348 (2),0.9196 (3),0.9348 (2)
4,0.95 (1),0.9391 (2),0.937 (3)
5,0.963 (1),0.9239 (3),0.9478 (2)
6,0.9587 (1),0.9304 (3),0.9522 (2)
7,0.9696 (1),0.9522 (3),0.9565 (2)
8,0.9717 (1),0.9261 (3),0.9413 (2)
9,0.8848 (2),0.8543 (3),0.8913 (1)
10,0.863 (3),0.8717 (1),0.8696 (2)
avg rank,1.4,2.6,2.1
