Fold,Random Forest,Logistic Regression,SVC
1,0.533,0.015,0.1555
2,0.5307,0.014,0.1375
3,0.564,0.014,0.1348
4,0.5258,0.0153,0.1396
5,0.5286,0.014,0.1375
6,0.5408,0.014,0.1425
7,0.5591,0.0135,0.1445
8,0.5355,0.016,0.1385
9,0.5216,0.015,0.1311
10,0.5434,0.012,0.1279
avg,0.5383,0.0143,0.1389
stdev,0.0139,0.0011,0.0076
