Fold,Random Forest,Logistic Regression,SVC
1,0.9501,0.9306,0.9241
2,0.95,0.9217,0.9413
3,0.937,0.9196,0.9348
4,0.9478,0.9391,0.937
5,0.9543,0.9239,0.9478
6,0.9522,0.9304,0.9522
7,0.9696,0.9522,0.9565
8,0.9761,0.9261,0.9413
9,0.887,0.8543,0.8913
10,0.8543,0.8717,0.8696
avg,0.9378,0.917,0.9296
stdev,0.0379,0.0302,0.0279
