Data set,Random Forest,Logistic Regression,SVC
1,0.533 (3),0.015 (1),0.1555 (2)
2,0.5307 (3),0.014 (1),0.1375 (2)
3,0.564 (3),0.014 (1),0.1348 (2)
4,0.5258 (3),0.0153 (1),0.1396 (2)
5,0.5286 (3),0.014 (1),0.1375 (2)
6,0.5408 (3),0.014 (1),0.1425 (2)
7,0.5591 (3),0.0135 (1),0.1445 (2)
8,0.5355 (3),0.016 (1),0.1385 (2)
9,0.5216 (3),0.015 (1),0.1311 (2)
10,0.5434 (3),0.012 (1),0.1279 (2)
avg rank,3.0,1.0,2.0
