Data set,Random Forest,Logistic Regression,SVC
1,0.9408 (1),0.908 (2),0.9025 (3)
2,0.933 (1),0.8977 (3),0.9252 (2)
3,0.9222 (1),0.8964 (3),0.9157 (2)
4,0.9398 (1),0.9222 (2),0.9178 (3)
5,0.9524 (1),0.9025 (3),0.9326 (2)
6,0.9482 (1),0.9144 (3),0.9399 (2)
7,0.9607 (1),0.9368 (3),0.9419 (2)
8,0.9609 (1),0.9045 (3),0.9235 (2)
9,0.8796 (1),0.8204 (3),0.8611 (2)
10,0.8245 (2),0.83 (1),0.8214 (3)
avg rank,1.1,2.6,2.3
